Hole	Plays	Won		Tied	Lost	|	Win%	Tie%	Loss%
pAA		1000000	848869	5510	145621	|	84.8869	0.551	14.5621
pKK		1000000	820997	5700	173303	|	82.0997	0.57	17.3303
pQQ		1000000	795681	5815	198504	|	79.5681	0.5815	19.8504
pJJ		1000000	771560	6415	222025	|	77.156	0.6415	22.2025
pTT		1000000	746079	7027	246894	|	74.6079	0.7027	24.6894
p99		1000000	717352	7834	274814	|	71.7352	0.7834	27.4814
p88		1000000	686240	8804	304956	|	68.624	0.8804	30.4956
sAK		1000000	661425	16350	322225	|	66.1425	1.635	32.2225
p77		1000000	657800	10031	332169	|	65.78	1.0031	33.2169
sAQ		1000000	653685	17754	328561	|	65.3685	1.7754	32.8561
oAK		1000000	645082	16739	338179	|	64.5082	1.6739	33.8179
sAJ		1000000	643707	19644	336649	|	64.3707	1.9644	33.6649
oAQ		1000000	636141	18365	345494	|	63.6141	1.8365	34.5494
sAT		1000000	635581	22223	342196	|	63.5581	2.2223	34.2196
p66		1000000	627154	11629	361217	|	62.7154	1.1629	36.1217
oAJ		1000000	625910	20564	353526	|	62.591	2.0564	35.3526
sKQ		1000000	623969	19660	356371	|	62.3969	1.966	35.6371
oAT		1000000	615495	23143	361362	|	61.5495	2.3143	36.1362
sA9		1000000	615119	25244	359637	|	61.5119	2.5244	35.9637
sKJ		1000000	614643	21926	363431	|	61.4643	2.1926	36.3431
sA8		1000000	605842	28801	365357	|	60.5842	2.8801	36.5357
sKT		1000000	605644	24081	370275	|	60.5644	2.4081	37.0275
oKQ		1000000	603535	20504	375961	|	60.3535	2.0504	37.5961
p55		1000000	596080	13847	390073	|	59.608	1.3847	39.0073
oKJ		1000000	594714	22678	382608	|	59.4714	2.2678	38.2608
oA9		1000000	594100	26671	379229	|	59.41	2.6671	37.9229
sA7		1000000	593585	32102	374313	|	59.3585	3.2102	37.4313
sQJ		1000000	590700	23917	385383	|	59.07	2.3917	38.5383
sK9		1000000	586920	26974	386106	|	58.692	2.6974	38.6106
oKT		1000000	584502	24978	390520	|	58.4502	2.4978	39.052
oA8		1000000	583911	30091	385998	|	58.3911	3.0091	38.5998
sA6		1000000	582087	34237	383676	|	58.2087	3.4237	38.3676
sA5		1000000	581017	37262	381721	|	58.1017	3.7262	38.1721
sQT		1000000	580831	25989	393180	|	58.0831	2.5989	39.318
oA7		1000000	571388	33301	395311	|	57.1388	3.3301	39.5311
sA4		1000000	570929	38159	390912	|	57.0929	3.8159	39.0912
oQJ		1000000	568502	24637	406861	|	56.8502	2.4637	40.6861
sK8		1000000	567652	30314	402034	|	56.7652	3.0314	40.2034
sA3		1000000	564112	37786	398102	|	56.4112	3.7786	39.8102
oK9		1000000	563733	28051	408216	|	56.3733	2.8051	40.8216
sJT		1000000	562547	27309	410144	|	56.2547	2.7309	41.0144
sQ9		1000000	562329	29054	408617	|	56.2329	2.9054	40.8617
p44		1000000	562267	15567	422166	|	56.2267	1.5567	42.2166
oQT		1000000	559866	26639	413495	|	55.9866	2.6639	41.3495
oA6		1000000	558500	36394	405106	|	55.85	3.6394	40.5106
sK7		1000000	558251	34145	407604	|	55.8251	3.4145	40.7604
oA5		1000000	557317	38963	403720	|	55.7317	3.8963	40.372
sA2		1000000	555000	37487	407513	|	55.5	3.7487	40.7513
sK6		1000000	548097	36928	414975	|	54.8097	3.6928	41.4975
oA4		1000000	546671	40106	413223	|	54.6671	4.0106	41.3223
sQ8		1000000	544430	32195	423375	|	54.443	3.2195	42.3375
oK8		1000000	543972	31649	424379	|	54.3972	3.1649	42.4379
sJ9		1000000	541414	31031	427555	|	54.1414	3.1031	42.7555
oJT		1000000	538826	28240	432934	|	53.8826	2.824	43.2934
oQ9		1000000	538585	29985	431430	|	53.8585	2.9985	43.143
sK5		1000000	538153	39237	422610	|	53.8153	3.9237	42.261
oA3		1000000	537921	39766	422313	|	53.7921	3.9766	42.2313
oK7		1000000	534698	35220	430082	|	53.4698	3.522	43.0082
oA2		1000000	529860	39561	430579	|	52.986	3.9561	43.0579
sK4		1000000	528970	39460	431570	|	52.897	3.946	43.157
p33		1000000	528181	17002	454817	|	52.8181	1.7002	45.4817
sQ7		1000000	525088	35723	439189	|	52.5088	3.5723	43.9189
oK6		1000000	523282	38675	438043	|	52.3282	3.8675	43.8043
sT9		1000000	523252	32985	443763	|	52.3252	3.2985	44.3763
sJ8		1000000	522972	34064	442964	|	52.2972	3.4064	44.2964
sK3		1000000	519970	39405	440625	|	51.997	3.9405	44.0625
oQ8		1000000	519465	33354	447181	|	51.9465	3.3354	44.7181
sQ6		1000000	516837	38730	444433	|	51.6837	3.873	44.4433
oJ9		1000000	515570	32264	452166	|	51.557	3.2264	45.2166
sK2		1000000	512982	39539	447479	|	51.2982	3.9539	44.7479
oK5		1000000	512079	40979	446942	|	51.2079	4.0979	44.6942
sQ5		1000000	507684	41192	451124	|	50.7684	4.1192	45.1124
sT8		1000000	505300	36419	458281	|	50.53	3.6419	45.8281
sJ7		1000000	503861	37239	458900	|	50.3861	3.7239	45.89
oK4		1000000	502418	42437	455145	|	50.2418	4.2437	45.5145
oQ7		1000000	498834	37231	463935	|	49.8834	3.7231	46.3935
oT9		1000000	498390	34284	467326	|	49.839	3.4284	46.7326
sQ4		1000000	497682	41834	460484	|	49.7682	4.1834	46.0484
oJ8		1000000	497348	35499	467153	|	49.7348	3.5499	46.7153
p22		1000000	494103	19015	486882	|	49.4103	1.9015	48.6882
oK3		1000000	493679	42062	464259	|	49.3679	4.2062	46.4259
oQ6		1000000	489720	40258	470022	|	48.972	4.0258	47.0022
sQ3		1000000	489716	41504	468780	|	48.9716	4.1504	46.878
s98		1000000	489383	38670	471947	|	48.9383	3.867	47.1947
sT7		1000000	486232	39734	474034	|	48.6232	3.9734	47.4034
sJ6		1000000	485892	40650	473458	|	48.5892	4.065	47.3458
oK2		1000000	484220	41704	474076	|	48.422	4.1704	47.4076
sQ2		1000000	480420	41344	478236	|	48.042	4.1344	47.8236
oQ5		1000000	479619	43167	477214	|	47.9619	4.3167	47.7214
oT8		1000000	478184	37957	483859	|	47.8184	3.7957	48.3859
oJ7		1000000	477640	39260	483100	|	47.764	3.926	48.31
sJ5		1000000	476732	43616	479652	|	47.6732	4.3616	47.9652
sJ4		1000000	468857	43708	487435	|	46.8857	4.3708	48.7435
s97		1000000	468803	42635	488562	|	46.8803	4.2635	48.8562
sT6		1000000	468591	42793	488616	|	46.8591	4.2793	48.8616
oQ4		1000000	468493	44282	487225	|	46.8493	4.4282	48.7225
o98		1000000	460948	40452	498600	|	46.0948	4.0452	49.86
sJ3		1000000	459936	43582	496482	|	45.9936	4.3582	49.6482
oQ3		1000000	459846	43643	496511	|	45.9846	4.3643	49.6511
oT7		1000000	458875	41548	499577	|	45.8875	4.1548	49.9577
oJ6		1000000	457800	42403	499797	|	45.78	4.2403	49.9797
s87		1000000	456340	45002	498658	|	45.634	4.5002	49.8658
sJ2		1000000	452181	43321	504498	|	45.2181	4.3321	50.4498
s96		1000000	451548	45584	502868	|	45.1548	4.5584	50.2868
oQ2		1000000	450690	43492	505818	|	45.069	4.3492	50.5818
sT5		1000000	449289	45627	505084	|	44.9289	4.5627	50.5084
oJ5		1000000	449136	45705	505159	|	44.9136	4.5705	50.5159
sT4		1000000	442286	46621	511093	|	44.2286	4.6621	51.1093
o97		1000000	440488	44696	514816	|	44.0488	4.4696	51.4816
oT6		1000000	439348	44796	515856	|	43.9348	4.4796	51.5856
oJ4		1000000	438913	46551	514536	|	43.8913	4.6551	51.4536
s86		1000000	437749	48777	513474	|	43.7749	4.8777	51.3474
sT3		1000000	434175	46391	519434	|	43.4175	4.6391	51.9434
s95		1000000	433214	47981	518805	|	43.3214	4.7981	51.8805
oJ3		1000000	429439	46529	524032	|	42.9439	4.6529	52.4032
s76		1000000	429089	50893	520018	|	42.9089	5.0893	52.0018
o87		1000000	427526	46717	525757	|	42.7526	4.6717	52.5757
sT2		1000000	425311	45940	528749	|	42.5311	4.594	52.8749
o96		1000000	420967	47643	531390	|	42.0967	4.7643	53.139
oJ2		1000000	420347	46037	533616	|	42.0347	4.6037	53.3616
s85		1000000	419768	51125	529107	|	41.9768	5.1125	52.9107
oT5		1000000	419101	47855	533044	|	41.9101	4.7855	53.3044
s94		1000000	413371	49406	537223	|	41.3371	4.9406	53.7223
oT4		1000000	411140	48956	539904	|	41.114	4.8956	53.9904
s75		1000000	409510	53819	536671	|	40.951	5.3819	53.6671
s93		1000000	409124	49441	541435	|	40.9124	4.9441	54.1435
o86		1000000	407824	51113	541063	|	40.7824	5.1113	54.1063
s65		1000000	403204	55634	541162	|	40.3204	5.5634	54.1162
s84		1000000	401607	51995	546398	|	40.1607	5.1995	54.6398
oT3		1000000	401484	49069	549447	|	40.1484	4.9069	54.9447
o95		1000000	401395	50115	548490	|	40.1395	5.0115	54.849
s92		1000000	399198	49026	551776	|	39.9198	4.9026	55.1776
o76		1000000	396843	53428	549729	|	39.6843	5.3428	54.9729
oT2		1000000	392911	48939	558150	|	39.2911	4.8939	55.815
s74		1000000	390992	54541	554467	|	39.0992	5.4541	55.4467
o85		1000000	386868	53919	559213	|	38.6868	5.3919	55.9213
s54		1000000	386087	58020	555893	|	38.6087	5.802	55.5893
s64		1000000	385193	57014	557793	|	38.5193	5.7014	55.7793
s83		1000000	382533	51706	565761	|	38.2533	5.1706	56.5761
o94		1000000	381533	51374	567093	|	38.1533	5.1374	56.7093
s82		1000000	377509	51735	570756	|	37.7509	5.1735	57.0756
o75		1000000	376953	56988	566059	|	37.6953	5.6988	56.6059
o93		1000000	374310	51655	574035	|	37.431	5.1655	57.4035
s73		1000000	373719	54568	571713	|	37.3719	5.4568	57.1713
o65		1000000	369712	58532	571756	|	36.9712	5.8532	57.1756
s53		1000000	367897	59312	572791	|	36.7897	5.9312	57.2791
o84		1000000	367042	54856	578102	|	36.7042	5.4856	57.8102
s63		1000000	366813	56645	576542	|	36.6813	5.6645	57.6542
o92		1000000	365469	51549	582982	|	36.5469	5.1549	58.2982
o74		1000000	357623	57353	585024	|	35.7623	5.7353	58.5024
s43		1000000	357167	58528	584305	|	35.7167	5.8528	58.4305
s72		1000000	353961	54388	591651	|	35.3961	5.4388	59.1651
o54		1000000	350995	61865	587140	|	35.0995	6.1865	58.714
o64		1000000	350974	59885	589141	|	35.0974	5.9885	58.9141
s52		1000000	349519	58455	592026	|	34.9519	5.8455	59.2026
s62		1000000	347561	56793	595646	|	34.7561	5.6793	59.5646
o83		1000000	347468	54574	597958	|	34.7468	5.4574	59.7958
o82		1000000	341250	54796	603954	|	34.125	5.4796	60.3954
